customerID,companyName,contactName,contactTitle,address,city,region,postalCode,country,phone,fax,Bloom_Link
ALFKI,Alfreds Futterkiste,Maria Anders,Sales Representative,Obere Str. 57,Berlin,,12209,Germany,030-0074321,030-0076545,https://neo4j-partners.com:7473/bloom/?search=Customer%20ALFKI&&perspective=Northwind&run=true
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Owner,Avda. de la Constitución 2222,México D.F.,,5021,Mexico,(5) 555-4729,(5) 555-3745,https://neo4j-partners.com:7473/bloom/?search=Customer%20ANATR&&perspective=Northwind&run=true
ANTON,Antonio Moreno Taquería,Antonio Moreno,Owner,Mataderos  2312,México D.F.,,5023,Mexico,(5) 555-3932,,https://neo4j-partners.com:7473/bloom/?search=Customer%20ANTON&&perspective=Northwind&run=true
AROUT,Around the Horn,Thomas Hardy,Sales Representative,120 Hanover Sq.,London,,WA1 1DP,UK,(171) 555-7788,(171) 555-6750,https://neo4j-partners.com:7473/bloom/?search=Customer%20AROUT&&perspective=Northwind&run=true
BERGS,Berglunds snabbköp,Christina Berglund,Order Administrator,Berguvsvägen  8,Luleå,,S-958 22,Sweden,0921-12 34 65,0921-12 34 67,https://neo4j-partners.com:7473/bloom/?search=Customer%20BERGS&&perspective=Northwind&run=true
BLAUS,Blauer See Delikatessen,Hanna Moos,Sales Representative,Forsterstr. 57,Mannheim,,68306,Germany,0621-08460,0621-08924,https://neo4j-partners.com:7473/bloom/?search=Customer%20BLAUS&&perspective=Northwind&run=true
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Marketing Manager,"24, place Kléber",Strasbourg,,67000,France,88.60.15.31,88.60.15.32,https://neo4j-partners.com:7473/bloom/?search=Customer%20BLONP&&perspective=Northwind&run=true
BOLID,Bólido Comidas preparadas,Martín Sommer,Owner,"C/ Araquil, 67",Madrid,,28023,Spain,(91) 555 22 82,(91) 555 91 99,https://neo4j-partners.com:7473/bloom/?search=Customer%20BOLID&&perspective=Northwind&run=true
BONAP,Bon app',Laurence Lebihan,Owner," 12, rue des Bouchers",Marseille,,13008,France,91.24.45.40,91.24.45.41,https://neo4j-partners.com:7473/bloom/?search=Customer%20BONAP&&perspective=Northwind&run=true
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Accounting Manager,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745,https://neo4j-partners.com:7473/bloom/?search=Customer%20BOTTM&&perspective=Northwind&run=true
BSBEV,B's Beverages,Victoria Ashworth,Sales Representative,Fauntleroy Circus,London,,EC2 5NT,UK,(171) 555-1212,,https://neo4j-partners.com:7473/bloom/?search=Customer%20BSBEV&&perspective=Northwind&run=true
CACTU,Cactus Comidas para llevar,Patricio Simpson,Sales Agent,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555,(1) 135-4892,https://neo4j-partners.com:7473/bloom/?search=Customer%20CACTU&&perspective=Northwind&run=true
CENTC,Centro comercial Moctezuma,Francisco Chang,Marketing Manager,Sierras de Granada 9993,México D.F.,,5022,Mexico,(5) 555-3392,(5) 555-7293,https://neo4j-partners.com:7473/bloom/?search=Customer%20CENTC&&perspective=Northwind&run=true
CHOPS,Chop-suey Chinese,Yang Wang,Owner,Hauptstr. 29,Bern,,3012,Switzerland,0452-076545,,https://neo4j-partners.com:7473/bloom/?search=Customer%20CHOPS&&perspective=Northwind&run=true
